,idNews,Likes,Dislikes
0,0,0,0
1,1,4,0
2,2,10,0
3,3,3,0
4,4,1,6
5,5,0,27
6,6,7,41
7,7,0,7
8,8,8,0
9,9,25,2
10,10,9,60
11,11,24,6
12,12,0,0
13,13,9,5
14,14,130,13
15,15,51,4
16,16,0,0
17,17,7,0
18,18,5,1
19,19,94,2
20,20,6,0
21,21,0,29
22,22,277,54
23,23,12,0
24,24,0,0
25,25,0,0
26,26,45,4
27,27,2,1
28,28,0,0
29,29,0,1
30,30,3,0
31,31,0,0
32,32,0,0
33,33,0,0
34,34,1,0
35,35,0,0
36,36,0,0
37,37,3,0
38,38,0,0
39,39,0,0
40,40,1,2
41,41,4,0
42,42,94,8
43,43,0,3
44,44,1,0
45,45,0,0
46,46,3,0
47,47,0,0
48,48,1,0
49,49,0,0
50,50,0,1
51,51,0,17
52,52,1,3
53,53,4,0
54,54,1,4
55,55,3,0
56,56,0,2
57,57,0,0
58,58,37,0
59,59,1,0
60,60,1,3
61,61,1,0
62,62,1,0
63,63,5,1
64,64,1,0
65,65,0,1
66,66,0,7
67,67,3,0
68,68,2,0
69,69,0,0
70,70,2,76
71,71,0,1
72,72,1,0
73,73,0,1
74,74,3,0
75,75,0,0
76,76,0,0
77,77,0,0
78,78,0,0
79,79,1,0
80,80,9,0
81,81,1,0
82,82,0,0
83,83,0,1
84,84,3,0
85,85,2,1
86,86,3,0
87,87,20,3
88,88,4,0
89,89,6,6
90,90,2,0
91,91,2,0
92,92,0,0
93,93,0,2
94,94,0,0
95,95,0,0
96,96,4,0
97,97,4,2
98,98,1,3
99,99,8,1
100,100,4,0
101,101,42,12
102,102,0,2
103,103,18,6
104,104,2,0
105,105,39,9
106,106,4,3
107,107,9,0
108,108,10,2
109,109,10,1
110,110,1,0
111,111,10,0
112,112,6,1
113,113,79,24
114,114,19,12
115,115,0,2
116,116,131,16
117,117,0,0
118,118,24,0
119,119,0,0
120,120,0,0
121,121,1,123
122,122,19,8
123,123,43,0
124,124,20,1
125,125,0,0
126,126,3,0
127,127,1,1
128,128,0,0
129,129,0,0
130,130,3,0
131,131,1,3
132,132,4,0
133,133,4,0
134,134,2,0
135,135,0,0
136,136,16,2
137,137,2,0
138,138,0,0
139,139,1,0
140,140,3,0
141,141,1,0
142,142,1,1
143,143,0,0
144,144,1,5
145,145,3,1
146,146,1,0
147,147,21,1
148,148,1,3
149,149,1,0
150,150,0,0
151,151,0,0
152,152,5,0
153,153,0,0
154,154,1,1
155,155,0,2
156,156,0,5
157,157,1,1
158,158,7,15
159,159,0,0
160,160,0,0
161,161,4,1
162,162,6,0
163,163,1,0
164,164,0,2
165,165,0,0
166,166,2,1
167,167,3,1
168,168,0,0
169,169,0,0
170,170,0,1
171,171,0,0
172,172,0,0
173,173,0,0
174,174,0,0
175,175,0,0
176,176,0,0
177,177,0,0
178,178,0,0
179,179,0,0
180,180,0,0
181,181,0,0
182,182,4,2
183,183,0,0
184,184,0,0
185,185,0,0
186,186,0,0
187,187,0,0
188,188,0,0
189,189,0,0
190,190,0,0
191,191,0,0
192,192,0,0
193,193,0,0
194,194,0,1
195,195,0,0
196,196,2,4
197,197,0,0
198,198,3,1
199,199,0,0
200,200,0,0
201,201,0,0
202,202,0,0
203,203,0,3
204,204,1,2
205,205,0,0
206,206,1,3
207,207,0,0
208,208,0,0
209,209,3,1
210,210,5,2
211,211,1,1
212,212,0,0
213,213,0,0
214,214,1,0
215,215,0,0
216,216,1,0
217,217,0,0
218,218,0,0
219,219,1,0
220,220,0,0
221,221,0,2
222,222,1,0
223,223,0,1
224,224,0,0
225,225,0,0
226,226,0,0
227,227,1,0
228,228,0,0
229,229,0,0
230,230,0,0
231,231,0,0
232,232,0,0
233,233,0,0
234,234,0,0
235,235,0,0
236,236,0,0
237,237,0,0
238,238,0,0
239,239,0,1
240,240,0,0
241,241,0,0
242,242,0,0
243,243,0,0
244,244,0,0
245,245,0,0
246,246,0,0
247,247,0,0
248,248,0,0
249,249,0,0
250,250,0,0
251,251,0,0
252,252,0,0
253,253,0,0
254,254,0,0
255,255,0,0
256,256,1,0
257,257,0,0
258,258,0,1
259,259,0,0
260,260,0,0
261,261,0,0
262,262,0,0
263,263,0,0
264,264,0,0
265,265,0,0
266,266,1,0
267,267,0,0
268,268,0,0
269,269,0,0
270,270,0,0
271,271,0,0
272,272,0,0
273,273,0,0
274,274,0,0
275,275,0,0
276,276,0,1
277,277,0,0
278,278,0,0
279,279,0,0
280,280,0,0
281,281,0,0
282,282,0,0
283,283,0,0
284,284,0,0
285,285,0,0
286,286,0,0
287,287,3,3
288,288,0,0
289,289,0,0
290,290,0,0
291,291,0,0
292,292,0,0
293,293,0,0
294,294,0,0
295,295,0,0
296,296,0,0
297,297,1,0
298,298,1,0
299,299,0,0
300,300,0,0
301,301,1,2
302,302,0,0
303,303,0,0
304,304,0,0
305,305,0,0
306,306,4,6
307,307,4,0
308,308,0,0
309,309,0,0
310,310,1,0
311,311,1,0
312,312,0,0
313,313,0,0
314,314,2,0
315,315,0,0
316,316,4,4
317,317,1,1
318,318,3,1
319,319,0,0
320,320,0,0
321,321,1,0
322,322,0,0
323,323,1,1
324,324,0,0
325,325,0,0
326,326,0,0
327,327,1,0
328,328,0,0
329,329,0,0
330,330,0,0
331,331,1,0
332,332,2,0
333,333,1,0
334,334,0,0
335,335,0,0
336,336,0,0
337,337,0,0
338,338,0,0
339,339,1,2
340,340,0,1
341,341,0,0
342,342,0,0
343,343,2,0
344,344,1,0
345,345,2,0
346,346,0,0
347,347,0,0
348,348,2,0
349,349,0,1
350,350,1,0
351,351,16,0
352,352,0,0
353,353,3,0
354,354,0,0
355,355,1,0
356,356,1,0
357,357,0,0
358,358,0,0
359,359,0,0
360,360,4,0
361,361,4,0
362,362,0,0
363,363,1,0
364,364,0,0
365,365,0,0
366,366,0,0
367,367,0,0
368,368,3,0
369,369,1,0
370,370,0,0
371,371,0,0
372,372,3,1
373,373,3,0
374,374,2,0
375,375,1,0
376,376,0,0
377,377,0,0
378,378,0,0
379,379,4,0
380,380,0,0
381,381,0,0
382,382,0,0
383,383,0,0
384,384,0,0
385,385,2,0
386,386,0,0
387,387,0,0
388,388,2,0
389,389,0,0
390,390,3,0
391,391,1,0
392,392,0,0
393,393,3,0
394,394,1,0
395,395,1,0
396,396,0,0
397,397,0,0
398,398,2,0
399,399,0,0
400,400,2,0
401,401,0,0
402,402,0,0
403,403,2,0
404,404,0,0
405,405,0,0
406,406,0,0
407,407,0,0
408,408,1,0
409,409,0,0
410,410,0,0
411,411,0,0
412,412,0,0
413,413,0,0
414,414,0,0
415,415,1,0
416,416,0,0
417,417,0,0
418,418,0,0
419,419,0,0
420,420,0,0
421,421,0,0
422,422,0,0
423,423,0,0
424,424,1,0
425,425,0,0
426,426,0,0
427,427,1,0
428,428,0,0
429,429,0,0
430,430,8,0
431,431,0,0
432,432,0,0
433,433,1,0
434,434,0,0
435,435,0,0
436,436,1,0
437,437,11,0
438,438,0,0
439,439,0,0
440,440,0,0
441,441,0,0
442,442,4,0
443,443,0,0
444,444,0,0
445,445,1,0
446,446,0,0
447,447,1,0
448,448,0,0
449,449,3,0
450,450,0,0
451,451,0,0
452,452,0,0
453,453,0,0
454,454,0,0
455,455,6,0
456,456,0,0
457,457,0,0
458,458,0,0
459,459,0,0
460,460,0,0
461,461,0,0
462,462,1,0
463,463,0,0
464,464,0,0
465,465,1,0
466,466,0,0
467,467,0,1
468,468,0,0
469,469,0,0
470,470,61,0
471,471,0,0
472,472,0,0
473,473,8,0
474,474,1,0
475,475,1,0
476,476,0,0
477,477,1,0
478,478,64,0
479,479,0,0
480,480,1,0
481,481,0,0
482,482,0,8
483,483,17,0
484,484,81,1
485,485,0,0
486,486,9,0
487,487,0,0
488,488,2,0
489,489,0,0
490,490,0,0
491,491,3,0
492,492,5,0
493,493,1,0
494,494,2,0
495,495,0,0
496,496,3,0
497,497,0,0
498,498,0,0
499,499,1,0
500,500,3,0
501,501,0,0
502,502,0,0
503,503,0,0
504,504,15,0
505,505,0,0
506,506,1,2
507,507,0,0
508,508,5,0
509,509,0,0
510,510,255,2
511,511,20,0
512,512,0,0
513,513,0,0
514,514,2,0
515,515,0,0
516,516,0,0
517,517,2471,7
518,518,7,0
519,519,2,0
520,520,0,0
521,521,1,0
522,522,0,0
523,523,0,0
524,524,0,0
525,525,0,0
526,526,0,0
527,527,0,0
528,528,0,0
529,529,0,0
530,530,0,0
531,531,0,0
532,532,0,0
533,533,0,0
534,534,0,0
535,535,0,0
536,536,0,0
537,537,0,0
538,538,0,0
539,539,0,0
540,540,0,0
541,541,0,0
542,542,0,0
543,543,0,0
544,544,0,0
545,545,0,0
546,546,0,0
547,547,0,0
548,548,0,0
549,549,0,0
550,550,0,0
551,551,0,0
552,552,0,0
553,553,0,0
554,554,0,0
555,555,0,0
556,556,0,0
557,557,0,0
558,558,0,0
559,559,0,0
560,560,0,0
561,561,0,0
562,562,0,0
563,563,0,0
564,564,0,0
565,565,0,0
566,566,0,0
567,567,0,0
568,568,0,0
569,569,0,0
570,570,0,0
571,571,0,0
572,572,0,0
573,573,0,0
574,574,0,0
575,575,0,0
576,576,0,0
577,577,0,0
578,578,0,0
579,579,0,0
580,580,0,0
581,581,0,0
